gene_name	chromosome	start	end	length
LINC01784	HG1342_HG2282_PATCH	4199	4672	474
PRAMEF11	HG1342_HG2282_PATCH	6118	12923	6806
PRAMEF30P	HG1342_HG2282_PATCH	19638	22870	3233
HNRNPCL1	HG1342_HG2282_PATCH	28921	30238	1318
PRAMEF2	HG1342_HG2282_PATCH	38599	43422	4824
PRAMEF4	HG1342_HG2282_PATCH	60725	67714	6990
PRAMEF10	HG1342_HG2282_PATCH	74409	79783	5375
PRAMEF7	HG1342_HG2282_PATCH	98123	101995	3873
RNU6-1072P	HG1342_HG2282_PATCH	104067	104173	107
PRAMEF29P	HG1342_HG2282_PATCH	107675	109766	2092
PRAMEF6	HG1342_HG2282_PATCH	119985	129093	9109
PRAMEF28P	HG1342_HG2282_PATCH	183679	186470	2792
PRAMEF27	HG1342_HG2282_PATCH	203816	210831	7016
HNRNPCL3	HG1342_HG2282_PATCH	215209	216569	1361
PRAMEF25	HG1342_HG2282_PATCH	223017	232224	9208
PRAMEF34P	HG1342_HG2282_PATCH	249519	252311	2793
PRAMEF35P	HG1342_HG2282_PATCH	258743	260029	1287
HNRNPCL2	HG1342_HG2282_PATCH	269828	271194	1367
PRAMEF36P	HG1342_HG2282_PATCH	283158	285955	2798
	HG1342_HG2282_PATCH	284133	285749	1617
	HG1342_HG2282_PATCH	301321	301800	480
PRAMEF26	HG1342_HG2282_PATCH	303245	310301	7057
	HG151_NOVEL_TEST	119918	138264	18347
HNRNPCL4	HG1342_HG2282_PATCH	318926	319807	882
OR9G1	HG151_NOVEL_TEST	7154	8071	918
PRAMEF9	HG1342_HG2282_PATCH	326795	333804	7010
OR9G9	HG151_NOVEL_TEST	18234	19151	918
	HG151_NOVEL_TEST	54158	54304	147
PRAMEF13	HG1342_HG2282_PATCH	350528	355749	5222
OR9G3P	HG151_NOVEL_TEST	58021	58938	918
OR9G4	HG151_NOVEL_TEST	60669	61653	985
PRAMEF18	HG1342_HG2282_PATCH	377045	380446	3402
OR9G2P	HG151_NOVEL_TEST	68865	69744	880
PRAMEF31P	HG1342_HG2282_PATCH	400203	402992	2790
PRAMEF5	HG1342_HG2282_PATCH	408552	417654	9103
OR5G1P	HG151_NOVEL_TEST	93103	94048	946
OR5G4P	HG151_NOVEL_TEST	108048	108807	760
PRAMEF32P	HG1342_HG2282_PATCH	427879	429967	2089
RNU6-771P	HG1342_HG2282_PATCH	433465	433571	107
OR5G5P	HG151_NOVEL_TEST	119698	120636	939
PRAMEF8	HG1342_HG2282_PATCH	435375	439514	4140
OR5G3	HG151_NOVEL_TEST	137423	138358	936
LINC02735	HG151_NOVEL_TEST	166410	189093	22684
PRAMEF33	HG1342_HG2282_PATCH	457879	463247	5369
PRAMEF22	HG1342_HG2282_PATCH	157184	159964	2781
ARHGEF19-AS1	HG1343_HG173_HG459_PATCH	1991	2494	504
ARHGEF19	HG1343_HG173_HG459_PATCH	1991	16789	14799
	HG1343_HG173_HG459_PATCH	20044	21562	1519
GRK1	HG1524_PATCH	18042	39335	21294
ANO7L1	HG1343_HG173_HG459_PATCH	20606	32164	11559
	HG1343_HG173_HG459_PATCH	32811	35472	2662
CPLANE2	HG1343_HG173_HG459_PATCH	35829	41320	5492
LINC00552	HG1524_PATCH	50110	52688	2579
MT1XP1	HG1343_HG173_HG459_PATCH	45350	45535	186
FBXO42	HG1343_HG173_HG459_PATCH	50977	156623	105647
SZRD1	HG1343_HG173_HG459_PATCH	156718	202286	45569
RPL22P3	HG1343_HG173_HG459_PATCH	173285	173665	381
SPATA21	HG1343_HG173_HG459_PATCH	191257	241687	50431
NECAP2	HG1343_HG173_HG459_PATCH	244986	264343	19358
LINC01772	HG1343_HG173_HG459_PATCH	265213	272746	7534
CROCCP3	HG1343_HG173_HG459_PATCH	278663	295576	16914
RNU1-1	HG1343_HG173_HG459_PATCH	318424	318587	164
	HG1343_HG173_HG459_PATCH	319335	326095	6761
	HG1343_HG173_HG459_PATCH	324997	326103	1107
LINC01783	HG1343_HG173_HG459_PATCH	338197	339960	1764
RNU1-6P	HG1343_HG173_HG459_PATCH	338392	338535	144
PDE4DIPP8	HG1343_HG173_HG459_PATCH	352956	356848	3893
	HG1343_HG173_HG459_PATCH	483403	483840	438
RNU1-2	HG1343_HG173_HG459_PATCH	492015	492178	164
	HG1343_HG173_HG459_PATCH	498429	500577	2149
	HG1343_HG173_HG459_PATCH	498552	499059	508
	HG1343_HG173_HG459_PATCH	504496	517221	12726
RNU1-5P	HG1343_HG173_HG459_PATCH	514315	514458	144
	HG1343_HG173_HG459_PATCH	676471	676813	343
	HG1343_HG173_HG459_PATCH	847890	855569	7680
EIF1AXP1	HG1343_HG173_HG459_PATCH	850592	851026	435
RNU1-3	HG1343_HG173_HG459_PATCH	869713	869876	164
RNU1-4	HG1343_HG173_HG459_PATCH	957786	957949	164
PADI2	HG1343_HG173_HG459_PATCH	1481961	1534651	52691
	HG1343_HG173_HG459_PATCH	652677	779104	126428
CROCCP4	HG1343_HG173_HG459_PATCH	879420	1005754	126335
	HG1343_HG173_HG459_PATCH	1178785	1193160	14376
	HG1343_HG173_HG459_PATCH	561254	566210	4957
	HG1343_HG173_HG459_PATCH	564764	571773	7010
	HG1343_HG173_HG459_PATCH	567488	567922	435
	HG1343_HG173_HG459_PATCH	679318	683976	4659
	HG1343_HG173_HG459_PATCH	767483	772149	4667
	HG1343_HG173_HG459_PATCH	886318	891041	4724
	HG1343_HG173_HG459_PATCH	974464	979128	4665
	HG1343_HG173_HG459_PATCH	1161819	1166487	4669
	HG1343_HG173_HG459_PATCH	434287	466213	31927
TOLLIP	HG152_PATCH	8637	43920	35284
	HG1343_HG173_HG459_PATCH	366657	428849	62193
	HG1343_HG173_HG459_PATCH	1011165	1078120	66956
TOLLIP-DT	HG152_PATCH	44035	44973	939
	HG152_PATCH	67516	71334	3819
LINC02689	HG152_PATCH	84625	98552	13928
BRSK2	HG152_PATCH	124165	196955	72791
	HG1343_HG173_HG459_PATCH	585030	647269	62240
NBPF1	HG1343_HG173_HG459_PATCH	1198562	1260797	62236
	HG152_PATCH	198848	201898	3051
DUSP8	HG152_PATCH	294027	312247	18221
KRTAP5-AS1	HG152_PATCH	311329	339160	27832
KRTAP5-1	HG152_PATCH	324318	325259	942
KRTAP5-2	HG152_PATCH	337153	338270	1118
KRTAP5-3	HG152_PATCH	347541	348439	899
KRTAP5-4	HG152_PATCH	360934	362114	1181
KRTAP5-5	HG152_PATCH	369751	370906	1156
	HG152_PATCH	402560	403319	760
FAM99A	HG152_PATCH	405573	407832	2260
FAM99B	HG152_PATCH	423245	425605	2361
LINC02708	HG152_PATCH	428273	429032	760
MOB2	HG152_PATCH	203723	274455	70733
RBMY3AP	HG1532_PATCH	835225	845930	10706
CDY3P	HG1532_PATCH	33367	34984	1618
TSPY25P	HG1532_PATCH	848837	851006	2170
USP9YP22	HG1532_PATCH	50976	53085	2110
TSPY16P	HG1532_PATCH	864903	865370	468
USP9YP4	HG1532_PATCH	56911	71893	14983
ELOCP4	HG1532_PATCH	98197	98529	333
RBMY1A3P	HG1532_PATCH	178412	190151	11740
	HG1532_PATCH	193081	193329	249
TTTY20	HG1532_PATCH	197162	202114	4953
TSPY8	HG1532_PATCH	225079	227881	2803
FAM197Y7	HG1532_PATCH	235085	303872	68788
	HG1532_PATCH	303320	305312	1993
TSPY4	HG1532_PATCH	204746	207566	2821
TSPY9	HG1532_PATCH	488788	491602	2815
FAM197Y2	HG1532_PATCH	384417	447256	62840
FAM197Y4	HG1532_PATCH	506130	508122	1993
FAM197Y4	HG1532_PATCH	460285	506463	46179
FAM197Y8	HG1532_PATCH	222128	224096	1969
FAM197Y8	HG1532_PATCH	214793	222683	7891
BCL2L14	HG1362_PATCH	18842	180082	161241
ELOCP5	HG1535_PATCH	52742	53074	333
CDY10P	HG1535_PATCH	58534	60100	1567
USP9YP3	HG1535_PATCH	82985	95067	12083
PTMAP9	HG1362_PATCH	80161	80487	327
MIR1244-4	HG1362_PATCH	80950	81034	85
LRP6	HG1362_PATCH	85023	236042	151020
USP9YP8	HG1535_PATCH	98305	102177	3873
CDY11P	HG1535_PATCH	117629	119279	1651
OFD1P16Y	HG1535_PATCH	198642	199281	640
RPL21P100	HG1362_PATCH	124260	124770	511
RNU6-545P	HG1362_PATCH	195672	195775	104
	HG1362_PATCH	217989	218425	437
RNU6-318P	HG1362_PATCH	258225	258327	103
MANSC1	HG1362_PATCH	295054	319240	24187
RPL23AP66	HG1362_PATCH	307774	308252	479
LOH12CR2	HG1362_PATCH	324404	326065	1662
BORCS5	HG1362_PATCH	326076	440236	114161
	HG1362_PATCH	421106	421484	379
DUSP16	HG1362_PATCH	442285	531866	89582
	HG1362_PATCH	454356	460584	6229
	HG1362_PATCH	537204	537779	576
	HG1651_PATCH	117294	117707	414
PPP2R3B	Y	333933	386955	53023
RPL14P5	Y	1008503	1010101	1599
	Y	253743	255091	1349
	Y	1767347	1768776	1430
ASMTL-AS1	Y	1401769	1414028	12260
IL3RA	Y	1336616	1382689	46074
P2RY8	Y	1462581	1537185	74605
SLC25A6	Y	1386152	1392113	5962
	Y	990221	994365	4145
ASMT	Y	1615059	1643081	28023
DHRSX-IT1	Y	2334295	2336410	2116
	HG1384_PATCH	45607	45750	144
DHRSX	Y	2219506	2502805	283300
ASMTL	Y	1403139	1453762	50624
LINC02968	Y	1732584	1763212	30629
LINC00106	Y	1396427	1399402	2976
LINC00685	Y	320990	321851	862
AKAP17A	Y	1591604	1602520	10917
PLCXD1	Y	276322	303356	27035
ZBED1	Y	2486414	2500976	14563
MIR6089	Y	2609191	2609254	64
LINC00102	Y	2612988	2615347	2360
CD99	Y	2691187	2741309	50123
	Y	386980	405579	18600
Metazoa_SRP	Y	388100	388389	290
	Y	419157	421980	2824
FABP5P13	Y	523775	524102	328
KRT18P53	Y	545236	545352	117
SHOX	Y	624344	659411	35068
MIR3690	Y	1293918	1293992	75
RNA5SP498	Y	1300256	1300375	120
CSF2RA	Y	1268800	1310381	41582
GTPBP6	Y	304529	318796	14268
	Y	1661795	1662306	512
LINC03112	Y	2566024	2609207	43184
CD99P1	Y	2609415	2623453	14039
CD99P1	Y	2609340	2658924	49585
CRLF2	Y	1190490	1212723	22234
AMD1P2	Y	57015105	57016096	992
DPH3P2	Y	57062156	57062405	250
VAMP7	Y	57067865	57130289	62425
ELOCP24	Y	57165512	57165845	334
TRPC6P1	Y	57171890	57172769	880
	Y	57190738	57208756	18019
WASIR1	Y	57201143	57203357	2215
DDX11L16	Y	57212184	57214397	2214
WASH6P	Y	57207346	57212230	4885
IL9R	Y	57184216	57197337	13122
TSPY24P	Y	8280198	8282209	2012
ZNF92P1Y	Y	7853686	7854876	1191
SERBP1P2	Y	4801685	4802848	1164
TSPY12P	Y	7687739	7689548	1810
DUX4L19	Y	11332329	11333595	1267
TTTY12	Y	7803996	7810683	6688
	Y	14941746	14942715	970
OFD1P3Y	Y	9030594	9039988	9395
RBMY2HP	Y	7671743	7676024	4282
	Y	8517364	8517748	385
TTTY6	Y	22439593	22441458	1866
ELOCP35	Y	17464879	17465214	336
SLC9B1P1	Y	11340579	11385687	45109
USP12PY	Y	3682805	3683868	1064
KDM5DP1	Y	20570222	20570519	298
LINC00279	Y	8550518	8713825	163308
DUX4L17	Y	11314921	11316187	1267
PRY	Y	22490397	22514637	24241
	Y	22646031	22646327	297
	Y	7905536	7907303	1768
HSFY7P	Y	22537047	22537849	803
	HG1395_PATCH	32845	52502	19658
	Y	11473727	11474237	511
ZNF736P6Y	Y	8350931	8352143	1213
TUSC2P1	Y	5887504	5888740	1237
RNU5B-4P	HG1395_PATCH	38436	38546	111
RBMY2AP	Y	21927521	21937150	9630
ECSCR	HG1395_PATCH	39089	52538	13450
PUDPP1	Y	15348662	15456074	107413
	Y	7690511	7692678	2168
CDRT15P10	Y	11085476	11086061	586
USP9Y	Y	12537650	12860839	323190
SMIM33	HG1395_PATCH	60573	64567	3995
STING1	HG1395_PATCH	65328	72730	7403
	HG1395_PATCH	82333	82900	568
NCOA4P4	HG1395_PATCH	84051	85911	1861
PRY2	Y	22071756	22096007	24252
	Y	7678899	7681028	2130
OFD1P8Y	Y	21972313	22005349	33037
RNF19BPY	Y	3777997	3779546	1550
	Y	21895394	21897559	2166
TSPY23P	Y	22183850	22186021	2172
TUBB1P2	Y	17516836	17519038	2203
	Y	7656968	7657352	385
ACTR3BP1	Y	11395699	11397076	1378
RPS24P1	Y	12244752	12245457	706
RCC2P2	Y	19986575	19987852	1278
ZNF736P8Y	Y	7913422	7914090	669
EIF1AY	Y	20575776	20593154	17379
BPY2	Y	22973819	23005465	31647
MTND1P12	Y	11445418	11445564	147
STSP1	Y	15547216	15593331	46116
CTBP2P1	Y	56855244	56855488	245
MTND6P1	Y	8363536	8363959	424
PABPC1P5	Y	11335627	11337693	2067
TSPY22P	Y	22305925	22307951	2027
RCC2P1	Y	11781052	11782527	1476
SHROOM2P1	Y	12537773	12544883	7111
	Y	21940012	21941593	1582
TTTY18	Y	8682594	8700977	18384
	Y	12661309	12663478	2170
	Y	11107065	11107263	199
DUX4L18	Y	11321557	11322823	1267
	Y	16599730	16644539	44810
ZNF736P11Y	Y	22866544	22867756	1213
OFD1P9Y	Y	22580989	22614081	33093
BPY2DP	Y	7932997	7937640	4644
RBMY2JP	Y	8127130	8144203	17074
CHEK2P1	Y	11412548	11418716	6169
RBMY2UP	Y	22198429	22203712	5284
FAM224B	Y	17552800	17579754	26955
ZNF886P	Y	20001185	20012204	11020
ELOCP8	Y	22517242	22517573	332
OFD1P16Y	Y	21817579	21818218	640
TTTY25P	Y	22330452	22332500	2049
	Y	8931069	8931454	386
	Y	22100814	22147484	46671
ASS1P6	Y	11922536	11923769	1234
SNX18P1Y	Y	11178306	11178816	511
	Y	21918935	21921106	2172
MED14P1	Y	12618983	12634402	15420
HSFY5P	Y	22048554	22049347	794
ZNF885P	Y	20390051	20396796	6746
ARSFP1	Y	12252321	12258033	5713
	Y	11445708	11446101	394
ZNF736P7Y	Y	7990987	7991806	820
SURF6P1	Y	17192826	17193652	827
XGY1	Y	12440046	12507369	67324
	Y	11144250	11144492	243
	Y	3786282	3864893	78612
ANKRD20A6P	Y	11173618	11173821	204
	Y	7845485	7846454	970
RBMY2KP	Y	8264449	8277188	12740
TSPY21P	Y	22400403	22402568	2166
TTTY19	Y	8704472	8705283	812
TTTY4	Y	22936455	22973284	36830
	Y	8971751	8974095	2345
MXRA5Y	Y	11957208	11987386	30179
DUX4L16	Y	11306918	11308181	1264
MTCYBP1	Y	8364032	8365150	1119
	Y	11107389	11107596	208
USP9YP17	Y	22049755	22058113	8359
TTTY17A	Y	22851584	22852715	1132
AGPAT5P1	Y	3293808	3294826	1019
	Y	3851224	3852869	1646
FAM41AY1	Y	17500958	17515018	14061
TTTY6B	Y	22144966	22146831	1866
ELOCP15	Y	22068820	22069151	332
	Y	11042722	11042943	222
TRIM60P3Y	Y	8413037	8414054	1018
MTND1P1	Y	8371663	8372030	368
	Y	19932130	19932500	371
PRRC2CP1	Y	3549652	3549810	159
ZNF736P10Y	Y	8418791	8419900	1110
	Y	22861112	22861834	723
CDY12P	Y	22064698	22065712	1015
	Y	17514502	17516715	2214
MTND2P3	Y	8372241	8372710	470
CDY13P	Y	22520681	22521695	1015
RBMY1KP	Y	22209331	22216580	7250
	Y	11107719	11107887	169
	Y	14276212	14277489	1278
	Y	8901203	8903276	2074
	Y	22670616	22672859	2244
	Y	21825441	21846721	21281
ARSDP1	Y	12354096	12387328	33233
TTTY5	Y	22296798	22298876	2079
CDY4P	Y	12801973	12803830	1858
	Y	22438940	22485592	46653
RBMY1D	Y	21880076	21894526	14451
RBMY2WP	Y	22762851	22769787	6937
USP9YP24	Y	22528281	22536639	8359
	Y	21871331	21873550	2220
TTTY10	Y	20464916	20575519	110604
UBE2V1P3	Y	3866306	3866722	417
FAM8A4P	Y	12321623	12322835	1213
	Y	4036497	4100320	63824
	Y	23017063	23017821	759
TRIM60P8Y	Y	23025594	23026663	1070
MED13P1	Y	14907898	14908068	171
CYCSP46	Y	14941547	14941750	204
RNU6-303P	Y	4174985	4175090	106
	Y	16138248	16138379	132
RN7SL702P	Y	12273473	12273764	292
RNA5SP520	Y	17557864	17557976	113
RNA5SP521	Y	17559774	17559889	116
	Y	17568962	17569051	90
RNU6-109P	Y	16248935	16249041	107
RNU6-184P	Y	16336283	16336389	107
HSFY2	Y	18731440	18773735	42296
GPM6BP2	Y	18741843	18741986	144
USP9YP2	Y	18776279	18779427	3149
ELOCP14	Y	18787750	18788080	331
PRYP6	Y	18790709	18791051	343
XKRYP2	Y	18811338	18811829	492
USP9YP10	Y	18826107	18829487	3381
USP9YP28	Y	18833002	18839313	6312
RNU1-41P	Y	18833729	18833890	162
OFD1P7Y	Y	18848264	18867280	19017
MTCYBP2	Y	18872102	18872272	171
ZNF839P1	Y	18985175	18986398	1224
CD24P4	Y	18992467	18992709	243
RNU6-255P	Y	19018983	19019087	105
	Y	19253960	19260875	6916
GAPDHP19	Y	19327569	19328573	1005
CLUHP1	Y	17621259	17625832	4574
TAF9P1	Y	17628513	17629402	890
	Y	17705968	17708185	2218
CDY5P	Y	17721598	17723177	1580
ELOCP36	Y	17726752	17727080	329
PRYP1	Y	17729528	17744596	15069
ACTG1P2	Y	17757001	17758125	1125
USP9YP23	Y	17782210	17784815	2606
USP9YP27	Y	17788315	17789484	1170
RNU1-128P	Y	17789003	17789162	160
TRAPPC2P3	Y	17797983	17800696	2714
OFD1P1Y	Y	17809807	17825329	15523
ELOCP6	Y	17837201	17837528	328
CDY6P	Y	17882099	17883708	1610
USP9YP7	Y	17908755	17910806	2052
USP9YP6	Y	17912699	17921630	8932
CDY7P	Y	17951589	17953500	1912
USP9YP34	Y	17984349	17993260	8912
USP9YP32	Y	17995201	17997252	2052
CDY8P	Y	18022299	18023908	1610
ELOCP12	Y	18068483	18068810	328
TRAPPC2P8	Y	18105314	18108102	2789
USP9YP15	Y	18116527	18117695	1169
RNU1-95P	Y	18116848	18117007	160
USP9YP16	Y	18121195	18123799	2605
ACTG1P11	Y	18147884	18149008	1125
PRYP2	Y	18161366	18176484	15119
ELOCP26	Y	18178932	18179260	329
CDY9P	Y	18182835	18184414	1580
TAF9P2	Y	18276607	18277495	889
CLUHP2	Y	18280178	18284761	4584
FAM224A	Y	18326253	18353210	26958
	Y	18336960	18337049	90
RNA5SP522	Y	18346123	18346238	116
RNA5SP523	Y	18348035	18348147	113
TUBB1P1	Y	18386974	18389151	2178
ELOCP13	Y	18440797	18441125	329
OFD1P4Y	Y	18453150	18472137	18988
USP9YP14	Y	18481087	18487400	6314
RNU1-48P	Y	18486511	18486672	162
USP9YP5	Y	18490915	18494295	3381
	Y	18491740	18547698	55959
XKRYP1	Y	18508577	18509068	492
PRYP5	Y	18529358	18529623	266
ELOCP7	Y	18532326	18532656	331
USP9YP1	Y	18540980	18544128	3149
GPM6BP1	Y	18578417	18578560	144
TTTY9B	Y	18581206	18590521	9316
RAB9AP4	Y	18649671	18650279	609
TRAPPC2P7	Y	18655520	18656190	671
TTTY14	Y	18772706	19077416	304711
	Y	19598188	19598757	570
	Y	19691941	19694606	2666
	Y	19744756	19759978	15223
KDM5D	Y	19703865	19744939	41075
HSFY1	Y	18546691	18588963	42273
TGIF2LY	Y	3579067	3580041	975
RBMY1F	Y	22168542	22182982	14441
CDY2A	Y	18025787	18027746	1960
ZNF736P3Y	Y	23049247	23051195	1949
TRIM60P9Y	Y	23058030	23059186	1157
RN7SKP282	Y	7324297	7324595	299
Y_RNA	Y	7341531	7341642	112
RNU6-941P	Y	7378672	7378779	108
RNU6-521P	Y	7423054	7423158	105
SRIP3	Y	6718962	6719180	219
	Y	6789153	6789344	192
GOT2P5	Y	6837707	6838252	546
ATP5PFP1	Y	6900753	6901372	620
	Y	6918682	6920791	2110
TRIM60P10Y	Y	24659337	24660406	1070
ZNF736P2Y	Y	24683657	24684935	1279
TRIM60P11Y	Y	24691791	24692932	1142
	Y	24977176	24978317	1142
ZNF736P1Y	Y	24985201	24986476	1276
	Y	25009700	25010769	1070
ZNF736P5Y	Y	25018499	25019303	805
BPY2C	Y	25030901	25062548	31648
TTTY4C	Y	25063083	25099892	36810
DAZ4	Y	24833843	24907040	73198
CDY2B	Y	17878260	17880220	1961
RNU6-1334P	Y	2784749	2784853	105
SRY	Y	2786855	2787682	828
RNASEH2CP1	Y	2789827	2790328	502
TOMM22P2	Y	2827982	2828218	237
	Y	2828192	2840851	12660
RPS4Y1	Y	2841602	2932000	90399
NAP1L1P2	Y	2929001	2931120	2120
	Y	2934406	2934771	366
ZFY	Y	2935281	2982506	47226
ZFY-AS1	Y	2966844	3002626	35783
EEF1A1P41	Y	2995067	2995273	207
PSMA6P1	Y	13286638	13287378	741
SFPQP1	Y	13083790	13095805	12016
DPPA2P1	Y	13230884	13231439	556
DDX3Y	Y	12904108	12920478	16371
C1R	HG1398_PATCH	8669	20226	11558
CASKP1	Y	12930165	12948182	18018
UTY	Y	13234577	13480673	246097
C1RL	HG1398_PATCH	17273	36924	19652
C1RL-AS1	HG1398_PATCH	35738	50187	14450
RBP5	HG1398_PATCH	43422	56575	13154
RNU6-485P	HG1398_PATCH	46471	46577	107
	HG1398_PATCH	56765	58884	2120
CLSTN3	HG1398_PATCH	57384	86631	29248
